0,1,2,3,4,5,6,7,8,9,10
other vegetables,candy,,,,,,,,,
pork,cereals,,,,,,,,,
whole milk,pip fruit,,,,,,,,,
rolls/buns,rolls/buns,,,,,,,,,
citrus fruit,bottled water,,,,,,,,,
root vegetables,shopping bags,,,,,,,,,
bottled water,curd,,,,,,,,,
other vegetables,yogurt,,,,,,,,,
hamburger meat,white bread,,,,,,,,,
white bread,pastry,whole milk,newspapers,,,,,,,
other vegetables,bottled beer,,,,,,,,,
chocolate,whipped/sour cream,brown bread,,,,,,,,
canned beer,soda,,,,,,,,,
pip fruit,brown bread,,,,,,,,,
citrus fruit,onions,,,,,,,,,
sausage,whole milk,,,,,,,,,
frozen meals,sausage,pastry,yogurt,,,,,,,
whole milk,yogurt,,,,,,,,,
liquor,UHT-milk,,,,,,,,,
beverages,newspapers,,,,,,,,,
curd,root vegetables,pip fruit,whole milk,margarine,,,,,,
white wine,fruit/vegetable juice,,,,,,,,,
ham,specialty bar,,,,,,,,,
frankfurter,rolls/buns,jam,,,,,,,,
sausage,frozen vegetables,,,,,,,,,
bottled beer,soda,,,,,,,,,
other vegetables,yogurt,other vegetables,flour,,,,,,,
root vegetables,yogurt,soda,shopping bags,oil,shopping bags,,,,,
pip fruit,candy,,,,,,,,,
coffee,berries,pickled vegetables,,,,,,,,
yogurt,berries,,,,,,,,,
coffee,packaged fruit/vegetables,,,,,,,,,
bottled water,Instant food products,,,,,,,,,
whipped/sour cream,rolls/buns,,,,,,,,,
other vegetables,soda,soda,,,,,,,,
white bread,meat,domestic eggs,roll products ,,,,,,,
newspapers,napkins,,,,,,,,,
other vegetables,curd,yogurt,pudding powder,,,,,,,
whole milk,bottled water,,,,,,,,,
mustard,brown bread,,,,,,,,,
UHT-milk,root vegetables,cake bar,,,,,,,,
sausage,hamburger meat,pork,chewing gum,whole milk,soda,soft cheese,yogurt,,,
frozen meals,hamburger meat,whole milk,pastry,fruit/vegetable juice,,,,,,
photo/film,canned beer,salty snack,curd,curd,whole milk,hygiene articles,,,,
dishes,bottled water,spread cheese,sugar,,,,,,,
frankfurter,red/blush wine,rolls/buns,,,,,,,,
rolls/buns,whole milk,soda,,,,,,,,
whole milk,chocolate marshmallow,,,,,,,,,
chicken,citrus fruit,other vegetables,margarine,hard cheese,soft cheese,,,,,
pastry,margarine,pastry,pastry,,,,,,,
specialty bar,shopping bags,pasta,,,,,,,,
other vegetables,shopping bags,frozen vegetables,shopping bags,,,,,,,
citrus fruit,root vegetables,,,,,,,,,
nut snack,long life bakery product,whole milk,frozen meals,,,,,,,
root vegetables,canned beer,dessert,chewing gum,,,,,,,
root vegetables,other vegetables,,,,,,,,,
ice cream,soda,,,,,,,,,
soda,whole milk,,,,,,,,,
pork,berries,,,,,,,,,
sausage,shopping bags,soda,butter,dessert,soda,,,,,
curd,sausage,margarine,long life bakery product,,,,,,,
rolls/buns,yogurt,,,,,,,,,
beef,pastry,whole milk,,,,,,,,
whipped/sour cream,root vegetables,,,,,,,,,
whole milk,root vegetables,,,,,,,,,
beef,domestic eggs,,,,,,,,,
candy,bottled water,,,,,,,,,
tropical fruit,berries,chocolate,,,,,,,,
specialty fat,other vegetables,white wine,,,,,,,,
pip fruit,specialty chocolate,,,,,,,,,
beef,sparkling wine,butter milk,misc. beverages,pastry,,,,,,
citrus fruit,whole milk,pastry,other vegetables,,,,,,,
yogurt,pip fruit,,,,,,,,,
yogurt,canned beer,,,,,,,,,
sausage,shopping bags,,,,,,,,,
fruit/vegetable juice,cat food,zwieback,frozen dessert,,,,,,,
meat,other vegetables,,,,,,,,,
beef,bottled water,bottled water,,,,,,,,
pastry,meat spreads,,,,,,,,,
onions,frankfurter,cream cheese ,oil,,,,,,,
soda,domestic eggs,artif. sweetener,,,,,,,,
white wine,specialty cheese,,,,,,,,,
frozen vegetables,napkins,,,,,,,,,
bottled beer,white bread,,,,,,,,,
butter,candy,,,,,,,,,
root vegetables,rolls/buns,bottled beer,rolls/buns,,,,,,,
